Table 1: Carrier Detail by Airport,,,,,,,,,,
"Summarized information by airport, for all O&D markets with an average of ten or more passengers each day",,,,,,,,,,
Carriers with less than 1% market share are not shown.,,,,,,,,,,
Carrier '99' signifies interline traffic.  Please see accompanying documentation for definitions and assumptions.,,,,,,,,,,

Date,Origin,Carrier,Zero-Passengers,Total Passengers,Average Fare,Revenue,RPMs,Avg Nonstop Distance,Passenger Mkt Share,Apt Size
2002,IND,NW,31040,637230,$177,112757786.1,628196926.2,856.7530091,0.108730446,M
2002,IND,TZ,15120,1027240,$113,116162766.1,1090449102,1039.87591,0.175277785,M
2002,IND,UA,33170,537750,$158,85083455,666182149.7,1150.349902,0.09175619,M
2002,IND,US,35650,713930,$173,123584339.4,529159665.5,671.6086171,0.121817754,M
2002,IND,WN,81500,698460,$110,76799361.1,661319905.9,903.8071042,0.11917811,M
2002,IND,Total,310370,5860640,$148,869299996.7,6127475081,970.4466628,1,M
2002,JAX,99,8040,67300,$170,11429126.5,90243411.08,1296.973848,0.016090316,M
2002,JAX,AA,28940,342140,$159,54439270.4,475630606.5,1284.884258,0.081800011,M
2002,JAX,CO,14860,290350,$169,49110433.4,348516045,1140.759738,0.06941788,M
2002,JAX,DL,78780,1370810,$147,201766932.1,1380870427,928.3554322,0.327737984,M
2002,JAX,FL,2470,182290,$117,21264122.9,128714190.9,629.9578145,0.043582522,M
2002,JAX,NW,18670,253420,$142,35992758.6,298132728.9,1013.788927,0.060588528,M
2002,JAX,UA,8030,65050,$187,12191466.3,134287194.8,1694.783397,0.015552378,M
2002,JAX,US,38130,641280,$131,84057576.3,523240932.9,758.864443,0.153319435,M
2002,JAX,WN,95710,952140,$96,90989490.3,642065330,645.7962905,0.227640916,M
2002,JAX,Total,293900,4182640,$135,562841779,4032480187,890.5259979,1,M
2002,JFK,99,50520,260040,$237,61709708.8,576803447.8,2246.622404,0.023701343,L
2002,JFK,AA,319850,2865170,$233,668411952,5531849237,1913.12808,0.261145893,L
2002,JFK,B6,7910,4174850,$131,545069955.7,5181327682,1240.514715,0.380516664,L
2002,JFK,DL,180070,1648280,$152,250285156.8,2647063801,1577.664717,0.150232465,L
2002,JFK,HP,29700,653600,$167,109155827.2,1533271792,2286.430722,0.059572366,L
2002,JFK,N7,4940,249310,$169,42093499.8,580766261.1,2320.357948,0.022723358,L
2002,JFK,NW,9280,110190,$169,18594583.5,158408400.1,1365.773301,0.010043267,L
2002,JFK,UA,184180,955590,$327,312351589,2428878264,2481.27516,0.087097242,L
2002,JFK,Total,789800,10971530,$184,2017330358,18727072939,1688.250981,1,L
2002,LAS,AA,147090,1761820,$139,244885178.9,2633429713,1415.06331,0.071283176,L
2002,LAS,AS,41110,822430,$115,94197905.9,790225861.4,933.344771,0.033275489,L
2002,LAS,CO,71570,1375630,$163,224766678.8,2687884736,1876.134469,0.055657942,L
2002,LAS,DL,206550,2012610,$155,311750561.2,3484214701,1613.427251,0.08143013,L
2002,LAS,HP,76820,3734810,$107,398787343.8,4792941814,1260.047328,0.151110282,L
2002,LAS,N7,31860,1334450,$116,154566621.7,1807704044,1354.319218,0.0539918,L
2002,LAS,NW,63790,1067180,$159,169923201.4,1879949750,1670.448519,0.043178066,L
2002,LAS,TZ,6610,473680,$122,57869657.8,757643584.2,1582.688672,0.019165076,L
2002,LAS,UA,121740,1765680,$147,258764435.1,2293143191,1233.752769,0.071439351,L
2002,LAS,US,92400,583030,$153,89388669.1,1269739613,2061.256522,0.023589373,L
2002,LAS,WN,862270,8757170,$89,778729776,5950127252,670.9189864,0.354314792,L
2002,LAS,Total,1786410,24715790,$118,2921052331,29726675047,1163.369679,1,L
