table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
.Tindall town,Missouri,65,65,-,-
.Trenton city,Missouri,"6,076","6,216",-140,-2.3
.Balance of Grundy County,Missouri,"3,188","3,248",-60,-1.8
Harrison County,Missouri,"8,785","8,850",-65,-0.7
.Bethany city,Missouri,"3,062","3,087",-25,-0.8
.Blythedale village,Missouri,233,233,-,-
.Cainsville city,Missouri,366,370,-4,-1.1
.Eagleville town,Missouri,321,321,-,-
.Gilman City city (pt.),Missouri,377,380,-3,-0.8
.Mount Moriah town,Missouri,143,143,-,-
.New Hampton city,Missouri,345,349,-4,-1.1
.Ridgeway city,Missouri,526,530,-4,-0.8
.Balance of Harrison County,Missouri,"3,412","3,437",-25,-0.7
Henry County,Missouri,"22,250","21,997",253,1.2
.Blairstown city,Missouri,142,141,1,0.7
.Brownington town,Missouri,121,119,2,1.7
.Calhoun city,Missouri,495,491,4,0.8
.Clinton city,Missouri,"9,287","9,311",-24,-0.3
.Deepwater city,Missouri,503,507,-4,-0.8
.Montrose city,Missouri,422,417,5,1.2
.Tightwad village,Missouri,64,63,1,1.6
.Urich city,Missouri,504,499,5,1.0
.Windsor city (pt.),Missouri,"3,139","2,990",149,5.0
.Balance of Henry County,Missouri,"7,573","7,459",114,1.5
Hickory County,Missouri,"8,909","8,940",-31,-0.3
.Cross Timbers city,Missouri,182,185,-3,-1.6
.Hermitage city,Missouri,490,496,-6,-1.2
.Preston town,Missouri,112,113,-1,-0.9
.Weaubleau city,Missouri,512,518,-6,-1.2
.Wheatland city,Missouri,384,388,-4,-1.0
.Balance of Hickory County,Missouri,"7,229","7,240",-11,-0.2
Holt County,Missouri,"5,136","5,351",-215,-4.0
.Bigelow village,Missouri,36,38,-2,-5.3
.Big Lake village,Missouri,122,127,-5,-3.9
.Corning town,Missouri,20,21,-1,-4.8
.Craig city,Missouri,297,309,-12,-3.9
.Forest City city,Missouri,325,338,-13,-3.8
.Fortescue town,Missouri,48,51,-3,-5.9
.Maitland city,Missouri,324,342,-18,-5.3
.Mound City city,Missouri,"1,136","1,193",-57,-4.8
.Oregon city,Missouri,904,935,-31,-3.3
.Balance of Holt County,Missouri,"1,924","1,997",-73,-3.7
Howard County,Missouri,"10,004","10,212",-208,-2.0
.Armstrong city,Missouri,281,287,-6,-2.1
.Fayette city,Missouri,"2,740","2,793",-53,-1.9
.Franklin city,Missouri,112,112,-,-
.Glasgow city (pt.),Missouri,"1,187","1,234",-47,-3.8
.New Franklin city,Missouri,"1,101","1,145",-44,-3.8
.Balance of Howard County,Missouri,"4,583","4,641",-58,-1.2
Howell County,Missouri,"37,280","37,238",42,0.1
.Brandsville city,Missouri,175,174,1,0.6
.Mountain View city,Missouri,"2,452","2,430",22,0.9
.West Plains city,Missouri,"10,835","10,895",-60,-0.6
.Willow Springs city,Missouri,"2,091","2,147",-56,-2.6
.Balance of Howell County,Missouri,"21,727","21,592",135,0.6
Iron County,Missouri,"10,381","10,697",-316,-3.0
.Annapolis city,Missouri,298,308,-10,-3.2
.Arcadia city,Missouri,538,569,-31,-5.4
.Des Arc village,Missouri,183,187,-4,-2.1
.Ironton city,Missouri,"1,401","1,471",-70,-4.8
.Pilot Knob city,Missouri,678,708,-30,-4.2
.Viburnum city,Missouri,815,833,-18,-2.2
.Balance of Iron County,Missouri,"6,468","6,621",-153,-2.3
Jackson County,Missouri,"660,773","654,880","5,893",0.9
.Blue Springs city,Missouri,"49,451","48,089","1,362",2.8
.Buckner city,Missouri,"2,725","2,725",-,-
.Grain Valley city,Missouri,"6,250","5,183","1,067",20.6
.Grandview city,Missouri,"25,542","24,881",661,2.7
.Greenwood city,Missouri,"4,300","3,952",348,8.8
