    "","Table 6a.--Direct Investment: Income, Capital, Royalties and License Fees, and Other Private Services",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)",
    "","",
    "","U.S. direct investment abroad:",
    "","",
  "35",          1114,          3506,         -7841,          6420,         -1612,          2332,          9146,         10637,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "36",        -40419,        -35607,        -34686,        -30964,        -27050,        -27040,        -29118,        -24560,
  "37",         -5917,        -11813,         -2353,         -8982,         -8626,         -9551,         -6235,         -3963,
  "38",         -6345,         -5883,         -2683,           314,         -3602,         -1210,         -2261,           931,
  "39",         -6673,         -3533,         -9211,         -5856,         -3988,         -5534,         -9373,           -91,
  "40",        -12990,        -10156,        -12189,        -12840,         -7790,         -9317,        -10224,        -10834,
  "41",         -8494,         -4223,         -8250,         -3600,         -3044,         -1428,         -1025,        -10603,
  "42",         -4143,         -9103,         -9678,         -3266,         -6091,           932,         -4895,         -4843,
  "43",          -946,         -5471,         -5124,         -2449,         -3922,         -2222,         -2072,         -1236,
  "44",          -207,          -687,          -794,          -205,          -553,           191,             3,           122,
  "45",          -837,         -1735,         -1121,         -1522,         -1579,          1335,         -3313,          -603,
  "46",         -1048,         -1488,          1005,          -418,          -339,          -605,           979,         -1703,
  "47",         -1105,           279,         -3644,          1328,           302,          2233,          -492,         -1423,
  "48",        -30600,        -28223,        -15802,        -17890,        -19024,        -23340,        -21547,        -21586,
  "49",         -7212,         -6447,         -1614,         -2814,         -4467,         -6707,         -5504,         -5107,
  "50",         -4135,         -4898,         -1982,         -1923,         -1519,         -2291,         -1576,         -2276,
  "51",         -3280,         -2625,         -1365,         -1744,         -1970,         -3296,          -791,         -1283,
  "52",         -9476,         -7730,         -8199,         -8797,         -7307,         -7989,         -9411,         -7836,
  "53",         -6498,         -6524,         -2642,         -2612,         -3761,         -3057,         -4265,         -5084,
  "54",         -5676,          1719,         -9206,         -9808,         -1935,         -4632,         -2676,          1869,
  "55",          2240,           105,          4385,         -3719,          -237,          -622,          1341,          2380,
  "56",         -2004,          -298,            93,          2442,         -1530,           890,          -688,          3085,
  "57",         -2556,           827,         -6725,         -2590,          -439,         -3573,         -5269,          1795,
  "58",         -2466,          -938,         -4995,         -3625,          -144,          -723,         -1792,         -1295,
  "59",          -891,          2022,         -1964,         -2316,           415,          -604,          3732,         -4096,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "60",          6924,          8053,          6468,          6595,          6514,          6530,          6866,          7247,
  "61",          7585,          8710,          7066,          7313,          7357,          7329,          7496,          7870,
